IDBASE;TYPE EMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENT ADRESSE;NUMERO;LIEU / ADRESSE;IDEMPLACEMENT;LIBELLE FRANCAIS;GENRE;ESPECE;VARIETE OUCULTIVAR;CIRCONFERENCE (cm);HAUTEUR (m);STADE DE DEVELOPPEMENT;REMARQUABLE;geo_point_2d
106735;Arbre;Jardin;PARIS 7E ARRDT;Canton 09;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE DU GENERAL MARGUERITE;A00901002;Platane;Platanus;x hispanica;;85;10;Adulte;NON;48.856188275948,2.299755735293993
107321;Arbre;Jardin;PARIS 7E ARRDT;Canton 07;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE PIERRE LOTI;A00701003;Platane;Platanus;x hispanica;;133;12;Adulte;NON;48.855581116259486,2.297873440113195
2030467;Arbre;Jardin;PARIS 16E ARRDT;Jeux de Boules;;JARDINS DE LA PORTE DE SAINT CLOUD / 38 AVENUE FERDINAND BUISSON;000106006;Platane;Platanus;x hispanica;;140;17;Adulte;NON;48.837700214514946,2.253135739811336
128203;Arbre;Jardin;PARIS 17E ARRDT;;;SQUARE ANDRE ULMANN;00000045;Platane;Platanus;x hispanica;;148;9;Adulte;NON;48.88982640516169,2.299086540311101
107554;Arbre;Jardin;PARIS 7E ARRDT;Canton 06;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A00604015;Platane;Platanus;x hispanica;;70;7;Jeune (arbre);NON;48.85716703393866,2.296728067518187
106553;Arbre;Jardin;PARIS 7E ARRDT;Canton 12;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A01201023;Platane;Platanus;x hispanica;;35;8;Jeune (arbre);NON;48.85372112055784,2.302263360299351
100924;Arbre;Jardin;PARIS 12E ARRDT;;;PARC DE BERCY;00000486;Platane;Platanus;x hispanica;;55;9;;;48.835699502203,2.381032991566926
107551;Arbre;Jardin;PARIS 7E ARRDT;Canton 06;;JARDIN DU CHAMP DE MARS ET PELOUSES DE L ECOLE MILITAIRE / AVENUE ANATOLE FRANCE;A00604012;Platane;Platanus;x hispanica;;202;12;Adulte;NON;48.857322164457855,2.296489486687932
323617;Arbre;Jardin;PARIS 8E ARRDT;;;SQUARE MARCEL PAGNOL / 12 RUE DE LABORDE;00000007;Platane;Platanus;x hispanica;;150;22;Adulte;NON;48.87580191119352,2.320698449165755
2010542;Arbre;Jardin;BOIS DE VINCENNES;;;PARC FLORAL DE PARIS / ROUTE DE LA PYRAMIDE;00020002;Platane;Platanus;x hispanica;;215;28;Adulte;NON;48.839267002183576,2.438338606644888
